EmployeeID,hiredate_key,terminationdate_key,length_of_service,Emp_PrevSTATUS,city_name,department_name,job_title,store_name,gender_short,gender_full,termreason_desc,termtype_desc,BUSINESS_UNIT
1338,25-07-2007,19-01-2020,13,Expert,Vancouver,Training,"Director, Training",35,M,Male,Retirement,Voluntary,HEADOFFICE
1339,23-03-1993,04-09-2020,27,Expert,Nelson,Store Management,Store Manager,19,F,Female,Retirement,Voluntary,STORES
1340,01-05-1997,14-09-2020,23,Expert,Kelowna,Store Management,Store Manager,16,M,Male,Retirement,Voluntary,STORES
1341,04-09-2006,31-05-2020,14,Expert,Vancouver,Labor Relations,"Director, Labor Relations",35,M,Male,Retirement,Voluntary,HEADOFFICE
1343,16-02-2002,06-11-2020,18,Expert,Victoria,Store Management,Store Manager,37,F,Female,Retirement,Voluntary,STORES
1344,24-04-2009,27-09-2020,11,Expert,Vancouver,HR Technology,"Director, HR Technology",35,F,Female,Retirement,Voluntary,HEADOFFICE
1346,21-10-1999,23-07-2020,21,Expert,Vancouver,Employee Records,"Director, Employee Records",35,F,Female,Retirement,Voluntary,HEADOFFICE
1347,14-03-1995,26-03-2020,25,Expert,Victoria,Meats,Meats Manager,37,M,Male,Retirement,Voluntary,STORES
1351,19-06-2004,09-04-2020,16,Expert,Vancouver,Compensation,"Director, Compensation",35,M,Male,Retirement,Voluntary,HEADOFFICE
1352,23-11-2002,25-02-2020,18,Expert,Vancouver,Legal,Corporate Lawyer,35,F,Female,Retirement,Voluntary,HEADOFFICE
1353,22-10-1996,22-05-2020,24,Expert,Kamloops,Store Management,Store Manager,15,M,Male,Retirement,Voluntary,STORES
1355,24-09-2014,22-12-2020,6,Proficient,Vancouver,Legal,Corporate Lawyer,35,M,Male,Retirement,Voluntary,HEADOFFICE
1357,21-10-2004,15-03-2020,16,Expert,Vancouver,Legal,Corporate Lawyer,35,M,Male,Retirement,Voluntary,HEADOFFICE
1358,26-07-1992,10-03-2020,28,Expert,Victoria,Produce,Produce Manager,37,M,Male,Retirement,Voluntary,STORES
1359,27-05-1999,23-06-2020,21,Expert,Nanaimo,Meats,Meats Manager,18,F,Female,Retirement,Voluntary,STORES
1360,10-04-2006,04-06-2020,14,Expert,Vancouver,Accounts Receiveable,"Director, Accounts Receivable",35,F,Female,Retirement,Voluntary,HEADOFFICE
1362,22-08-2003,17-07-2020,17,Expert,Kamloops,Meats,Meats Manager,15,F,Female,Retirement,Voluntary,STORES
1363,30-01-2015,01-08-2020,5,Newcomer,Victoria,Bakery,Bakery Manager,37,M,Male,Retirement,Voluntary,STORES
1365,17-08-2007,28-08-2020,13,Expert,Fort St John,Store Management,Store Manager,12,F,Female,Resignation,Voluntary,STORES
1366,25-12-1995,15-01-2020,25,Expert,Vancouver,Information Technology,Systems Analyst,35,M,Male,Retirement,Voluntary,HEADOFFICE
1367,29-06-1994,30-08-2020,26,Expert,Surrey,Store Management,Store Manager,31,M,Male,Retirement,Voluntary,STORES
1370,02-03-2008,19-09-2020,12,Expert,Vancouver,Accounts Payable,"Director, Accounts Payable",35,F,Female,Retirement,Voluntary,HEADOFFICE
1372,14-05-2007,11-08-2020,13,Expert,Vancouver,Audit,"Director, Audit",35,M,Male,Retirement,Voluntary,HEADOFFICE
1373,14-07-2006,09-05-2020,14,Expert,Vancouver,Accounting,"Director, Accounting",35,F,Female,Retirement,Voluntary,HEADOFFICE
1374,31-05-2007,20-04-2020,13,Expert,Kelowna,Meats,Meats Manager,16,M,Male,Retirement,Voluntary,STORES
1376,05-06-1990,05-08-2020,30,Expert,Vancouver,Investment,"Director, Investments",35,M,Male,Retirement,Voluntary,HEADOFFICE
1377,14-03-1996,27-05-2020,24,Expert,Victoria,Dairy,Dairy Person,37,F,Female,Retirement,Voluntary,STORES
1380,28-12-1990,31-03-2020,30,Expert,Vancouver,Recruitment,Recruiter,35,F,Female,Retirement,Voluntary,HEADOFFICE
1381,16-06-2005,05-03-2020,15,Expert,Vancouver,Recruitment,Recruiter,35,F,Female,Retirement,Voluntary,HEADOFFICE
1382,29-01-2000,11-06-2020,20,Expert,Vancouver,Recruitment,Recruiter,35,F,Female,Retirement,Voluntary,HEADOFFICE
