Answer 1,,,,
,,,,
A),,,,
,Total Termination,1485,,
,,,,
B),,,,
,Termination growth rate:,7%,,
,2021 Projected Termination,1589,,
,,,,
C),,,,
,Termination Growth Rate,Expected Termination in 2021,,
,4.0%,1544,,
,4.5%,1552,,
,5.0%,1559,,
,5.5%,1567,,
,6.0%,1574,,
,6.5%,1582,,
,7.0%,1589,,
,7.5%,1596,,
,8.0%,1604,,
,8.5%,1611,,
,9.0%,1619,,
,9.5%,1626,,
,10.0%,1634,,
,,,,
D),,,,
,What would be the projected terminations if it is expected to grow by 4.5%?,,,
,Termination Growth Rate,Expected Termination in 2021,,
,4.5%,1552,,
,,,,
E),,,,
,Total Termination,,,
,Termination Type,Count,,
,Retirement,392,,Layoff is the highest termination
,Resignation ,385,,
,Layoff,708,,
,,,,
,Highest:,,,
,Termination Type,Count,,
,Layoff,708,,
,,,,
F),a),,,
,,,,
,b),,,
,Total Terminations:,1485,,
,Total Voluntary Termination:,777,,
,Voluntary as % of total Termination:,52.32%,,
,,,,
G),,,,
